category;view_items;edit_items;own_items
pens;IT support,Manager,Redactor;IT support,Manager;IT support,Manager
postit_notes;IT support,Manager,Redactor;IT support,Manager;IT support,Manager
stamps;IT support,Manager,Redactor;IT support,Manager;IT support,Manager
adhesives;IT support,Manager,Redactor;IT support,Manager;IT support,Manager
envelopes;IT support,Manager,Redactor;IT support,Manager;IT support,Manager
master_accessories;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_accessories_belts;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_accessories_bags;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_accessories_sunglasses;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_accessories_hats;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_accessories_scarves;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_men;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_men_blazers;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_men_blazers_deals;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_men_pants;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_men_pants_shorts;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_men_pants_jeans;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_men_shoes;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_women;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_women_blouses;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_women_blouses_deals;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_women_dresses;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_women_shirts;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_women_shoes;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
print;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
print_accessories;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
print_clothing;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
print_shoes;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
suppliers;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
supplier_mongo;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
supplier_zaro;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
supplier_the_tootles;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
supplier_abibas;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_accessories;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_accessories_belts;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_accessories_bags;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_accessories_sunglasses;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_accessories_hats;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_accessories_scarves;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_men;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_men_blazers;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_men_blazers_deals;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_men_pants;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_men_pants_shorts;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_men_pants_jeans;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
master_men_shoes;IT support,Manager,Redactor;IT support,Manager,Redactor;IT support,Manager,Redactor
